"","Young","Old"
"C17orf58",8.58133118352356,8.5217714860369
"C17orf59",8.73440194739041,8.73379666576341
"C17orf60",3.54920263378758,3.27733499319047
"C17orf61",9.88724946427726,9.65642554052427
"C17orf62",11.0196050315437,11.0116674804951
"C17orf63",10.5858674018713,10.6136940986086
"C17orf64",0.321636497325882,0.316171395458764
"C17orf65",8.0710589979154,8.11637959895996
"C17orf66",0.35082617241852,0.399483427327669
"C17orf67",5.18202338686619,5.26329585166288
"C17orf68",9.58283194528396,9.5971474302914
"C17orf69",6.30246704801876,6.40963649656514
"C17orf70",10.7075504919846,10.713216665686
"C17orf71",9.64370628237983,9.66451853538281
"C17orf72",4.86887310194016,4.7951648586529
"C17orf73",7.74393497220743,7.75653586425498
"C17orf74",0.0932887763156873,0.0293943134758203
"C17orf75",8.97879906434468,8.93991050390507
"C17orf76",9.63898680873887,9.6229072386832
"C17orf77",4.32606470272915,3.92838877635008
"C17orf78",2.44395400129674,1.67062849051487
"C17orf79",10.2035794583568,10.2089773369971
"C17orf80",9.60967070758621,9.59341357360786
"C17orf81",10.0045029485689,9.90164738364048
"C17orf82",2.90203825000885,2.74270158579804
"C17orf85",9.86759105216929,9.8858370847866
"C17orf86",7.88084571369771,8.00804361112315
"C17orf87",4.21518576204351,4.18512786296744
"C17orf88",0.222305865668676,0.180403468544455
"C17orf89",9.28474031920167,9.23942409674534
"C17orf90",9.61966737575384,9.57454999073978
"C17orf91",7.37129422494217,7.55406559693885
"C17orf93",4.2905546821149,4.40864868320697
"C17orf95",9.55991175361342,9.5001751163467
"C17orf96",9.05742685494808,8.99901906581675
"C17orf97",7.15982254098763,7.03145757791268
"C17orf98",0.255212627303955,0.130545704618042
"C17orf99",1.85824094261915,1.8566068175965
"C18orf10",10.698653230817,10.6211182788809
"C18orf16",0.199533352299869,0.060527282693671
"C18orf18",6.99873168530016,6.90536484863922
"C18orf19",9.50298190139264,9.48427345812124
"C18orf1",9.14384180858079,9.13832196672694
"C18orf20",0.0634884347096247,0.0431689382687762
"C18orf21",8.58783299112705,8.56060618104574
"C18orf22",9.28694124188507,9.23029123752149
"C18orf25",9.55322292463547,9.6339832543653
"C18orf26",0.0383162263013482,0.0617299685419997
"C18orf2",0.657644103085421,0.476876950585246
"C18orf32",10.3331208808585,10.3096726375437
"C18orf34",1.39231726648514,1.28090125524566
"C18orf45",8.25801959064411,8.19779260405593
"C18orf54",7.04976266898469,7.01339063776225
"C18orf55",9.16916578860081,9.11605112826203
"C18orf56",5.21978531230805,5.16197378926044
"C18orf62",0.0152081636595375,0.0199960541707134
"C18orf8",9.42957824243145,9.46558992195408
"C19orf10",12.0897035827855,12.0917699968679
"C19orf12",9.60358596112746,9.60080021519654
"C19orf18",2.10787267374577,2.4308548053425
"C19orf20",7.35357493050834,7.25257092906549
"C19orf21",13.656197679894,13.8171557272215
"C19orf22",12.0569029442288,12.1049387549096
"C19orf23",4.89275444565557,4.88874603113645
"C19orf24",10.8725424860628,10.8192790215154
"C19orf25",10.101369148252,10.0733889851519
"C19orf26",4.1421167170262,4.16798252880581
"C19orf28",11.3841466710292,11.3735699561557
"C19orf29",10.0910471389199,10.0958820910984
"C19orf2",11.6422487566548,11.6834892229553
"C19orf30",0.428918385618341,0.304132158350297
"C19orf33",11.2480120191923,11.1999938499596
"C19orf34",0.734509972007783,0.745152559567746
"C19orf35",3.82740539303772,3.76737223617754
"C19orf36",4.85084711532072,4.66042658447767
"C19orf38",4.34970921032383,4.55174889094838
"C19orf39",7.51828043701089,7.53236079130403
"C19orf40",6.33631964914365,6.39200671100926
"C19orf41",2.19138339773063,1.83357763396838
"C19orf42",11.0640660415835,10.9826174353232
"C19orf43",11.9683722396243,11.9838211071879
"C19orf44",7.87404472222384,7.70748013695959
"C19orf45",6.14629898631027,5.93724546353869
"C19orf46",6.99764359980312,7.02564835776165
"C19orf47",9.09301758069513,9.11937750406958
"C19orf48",11.9790350516205,11.9964172818954
"C19orf50",11.5511471671278,11.5378848603841
"C19orf51",4.94954369478532,5.0081234510082
"C19orf52",9.06583218146965,9.07217866948269
"C19orf53",11.7389722614655,11.689193690055
"C19orf54",9.34790853330001,9.3286582298795
"C19orf55",7.59818956180527,7.54471708088866
"C19orf56",11.6974897136654,11.652014231474
"C19orf57",6.78368780515909,6.93188263020075
"C19orf59",3.63528783608648,3.84292289989306
"C19orf60",10.1324491014814,10.0662394984498
"C19orf61",10.5984312160582,10.5315425857543
"C19orf62",11.4036893549178,11.3627254744548
"C19orf63",12.9202415236545,12.8543645342933
"C19orf66",9.79416348861035,9.9528752555883
"C19orf69",1.92227104007985,1.93971456157205
"C19orf6",12.2473220432189,12.2712006527529
"C19orf70",10.9411986865723,10.8905467311659
"C19orf71",3.88554618640998,3.84162234502166
"C19orf73",5.66249027224695,5.63212006535204
"C19orf75",0.0472577961947507,0.0141234089785983
"C19orf76",5.3814132827776,5.49343699724292
"C19orf77",9.8699410467247,9.51392035838855
"C1D",8.86357691434154,8.87212690985028
"C1GALT1C1",10.8664480010582,10.8042325931787
"C1GALT1",10.0826516675978,10.1173585125348
"C1QA",10.7110601659862,10.827819270135
"C1QBP",12.3512196984206,12.3427663605202
"C1QB",10.8552732797773,10.9685888006282
"C1QC",10.8996485476366,10.9385696293929
"C1QL1",3.70177837951227,3.74639285489391
"C1QL2",0.0586502785290483,0.0458314310167025
"C1QL3",4.03620694932714,4.26512140261443
"C1QL4",1.34890663702087,1.04893475317345
"C1QTNF1",10.6579327173531,10.6930685108443
